"","X...iid","id","gender","idg","condtn","wave","round","position","positin1","order","partner","pid","match","int_corr","samerace","age_o","race_o","pf_o_att","pf_o_sin","pf_o_int","pf_o_fun","pf_o_amb","pf_o_sha","dec_o","attr_o","sinc_o","intel_o","fun_o","amb_o","shar_o","like_o","prob_o","met_o","age","field","field_cd","undergra","mn_sat","tuition","race","imprace","imprelig","from","zipcode","income","goal","date","go_out","career","career_c","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","exphappy","expnum","attr1_1","sinc1_1","intel1_1","fun1_1","amb1_1","shar1_1","attr4_1","sinc4_1","intel4_1","fun4_1","amb4_1","shar4_1","attr2_1","sinc2_1","intel2_1","fun2_1","amb2_1","shar2_1","attr3_1","sinc3_1","fun3_1","intel3_1","amb3_1","attr5_1","sinc5_1","intel5_1","fun5_1","amb5_1","dec","attr","sinc","intel","fun","amb","shar","like","prob","met","match_es","attr1_s","sinc1_s","intel1_s","fun1_s","amb1_s","shar1_s","attr3_s","sinc3_s","intel3_s","fun3_s","amb3_s","satis_2","length","numdat_2","attr7_2","sinc7_2","intel7_2","fun7_2","amb7_2","shar7_2","attr1_2","sinc1_2","intel1_2","fun1_2","amb1_2","shar1_2","attr4_2","sinc4_2","intel4_2","fun4_2","amb4_2","shar4_2","attr2_2","sinc2_2","intel2_2","fun2_2","amb2_2","shar2_2","attr3_2","sinc3_2","intel3_2","fun3_2","amb3_2","attr5_2","sinc5_2","intel5_2","fun5_2","amb5_2","you_call","them_cal","date_3","numdat_3","num_in_3","attr1_3","sinc1_3","intel1_3","fun1_3","amb1_3","shar1_3","attr7_3","sinc7_3","intel7_3","fun7_3","amb7_3","shar7_3","attr4_3","sinc4_3","intel4_3","fun4_3","amb4_3","shar4_3","attr2_3","sinc2_3","intel2_3","fun2_3","amb2_3","shar2_3","attr3_3","sinc3_3","intel3_3","fun3_3","amb3_3","attr5_3","sinc5_3","intel5_3","fun5_3","amb5_3"
"1",2,2,0,3,1,1,10,3,NA,10,1,11,0,0.29,1,27,2,35,20,20,20,0,5,0,8,7,6,9,7,4,7,2,2,24,168,1,1,1,1,2,2,5,3,138,162,1,5,1,219,NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,45,5,25,20,0,5,NA,NA,NA,NA,NA,NA,65,0,10,25,0,0,7,5,10,8,3,NA,NA,NA,NA,NA,0,5,7,8,4,6,3,6,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,18.92,18.92,21.62,27.03,5.41,8.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,8,9,4,NA,NA,NA,NA,NA,0,0,0,NA,NA,30,5,40,15,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,9,9,4,NA,NA,NA,NA,NA
"2",2,2,0,3,1,1,10,3,NA,9,2,12,0,0.18,1,22,2,60,0,0,40,0,0,0,7,6,10,6,6,5,8,4,2,24,168,1,1,1,1,2,2,5,3,138,162,1,5,1,219,NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,45,5,25,20,0,5,NA,NA,NA,NA,NA,NA,65,0,10,25,0,0,7,5,10,8,3,NA,NA,NA,NA,NA,0,8,5,6,6,9,6,7,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,18.92,18.92,21.62,27.03,5.41,8.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,8,9,4,NA,NA,NA,NA,NA,0,0,0,NA,NA,30,5,40,15,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,9,9,4,NA,NA,NA,NA,NA
"3",2,2,0,3,1,1,10,3,NA,6,3,13,0,0.1,0,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,2,24,168,1,1,1,1,2,2,5,3,138,162,1,5,1,219,NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,45,5,25,20,0,5,NA,NA,NA,NA,NA,NA,65,0,10,25,0,0,7,5,10,8,3,NA,NA,NA,NA,NA,0,5,8,9,6,3,4,6,7,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,18.92,18.92,21.62,27.03,5.41,8.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,8,9,4,NA,NA,NA,NA,NA,0,0,0,NA,NA,30,5,40,15,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,9,9,4,NA,NA,NA,NA,NA
"4",2,2,0,3,1,1,10,3,NA,1,4,14,1,-0.21,1,23,2,30,5,15,40,5,5,1,9,9,9,9,9,9,9,7,2,24,168,1,1,1,1,2,2,5,3,138,162,1,5,1,219,NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,45,5,25,20,0,5,NA,NA,NA,NA,NA,NA,65,0,10,25,0,0,7,5,10,8,3,NA,NA,NA,NA,NA,1,7,9,7,6,5,7,7,8,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,18.92,18.92,21.62,27.03,5.41,8.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,8,9,4,NA,NA,NA,NA,NA,0,0,0,NA,NA,30,5,40,15,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,9,9,4,NA,NA,NA,NA,NA
"5",2,2,0,3,1,1,10,3,NA,3,5,15,0,0.32,0,24,3,30,10,20,10,10,20,1,10,10,10,10,7,8,10,1,1,24,168,1,1,1,1,2,2,5,3,138,162,1,5,1,219,NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,45,5,25,20,0,5,NA,NA,NA,NA,NA,NA,65,0,10,25,0,0,7,5,10,8,3,NA,NA,NA,NA,NA,0,6,8,7,9,7,8,8,6,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,18.92,18.92,21.62,27.03,5.41,8.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,8,9,4,NA,NA,NA,NA,NA,0,0,0,NA,NA,30,5,40,15,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,9,9,4,NA,NA,NA,NA,NA
"6",2,2,0,3,1,1,10,3,NA,2,6,16,0,0.73,1,25,2,50,0,30,10,0,10,1,7,8,7,5,7,7,7,5,2,24,168,1,1,1,1,2,2,5,3,138,162,1,5,1,219,NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,45,5,25,20,0,5,NA,NA,NA,NA,NA,NA,65,0,10,25,0,0,7,5,10,8,3,NA,NA,NA,NA,NA,0,8,7,8,3,6,2,6,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,18.92,18.92,21.62,27.03,5.41,8.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,8,9,4,NA,NA,NA,NA,NA,0,0,0,NA,NA,30,5,40,15,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,9,9,4,NA,NA,NA,NA,NA
"7",2,2,0,3,1,1,10,3,NA,7,7,17,0,0.6,1,30,2,35,15,25,10,5,10,0,5,3,4,3,5,3,4,3,2,24,168,1,1,1,1,2,2,5,3,138,162,1,5,1,219,NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,45,5,25,20,0,5,NA,NA,NA,NA,NA,NA,65,0,10,25,0,0,7,5,10,8,3,NA,NA,NA,NA,NA,1,7,5,9,6,7,9,8,7,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,18.92,18.92,21.62,27.03,5.41,8.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,8,9,4,NA,NA,NA,NA,NA,0,0,0,NA,NA,30,5,40,15,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,9,9,4,NA,NA,NA,NA,NA
"8",2,2,0,3,1,1,10,3,NA,8,8,18,0,0.07,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,1,7,7,7,7,7,5,7,6,2,24,168,1,1,1,1,2,2,5,3,138,162,1,5,1,219,NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,45,5,25,20,0,5,NA,NA,NA,NA,NA,NA,65,0,10,25,0,0,7,5,10,8,3,NA,NA,NA,NA,NA,0,5,8,7,5,9,5,5,6,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,18.92,18.92,21.62,27.03,5.41,8.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,8,9,4,NA,NA,NA,NA,NA,0,0,0,NA,NA,30,5,40,15,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,9,9,4,NA,NA,NA,NA,NA
"9",2,2,0,3,1,1,10,3,NA,4,9,19,1,0.11,1,28,2,50,0,25,10,0,15,1,8,6,9,9,8,7,8,8,2,24,168,1,1,1,1,2,2,5,3,138,162,1,5,1,219,NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,45,5,25,20,0,5,NA,NA,NA,NA,NA,NA,65,0,10,25,0,0,7,5,10,8,3,NA,NA,NA,NA,NA,1,7,6,8,9,4,5,5,6,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,18.92,18.92,21.62,27.03,5.41,8.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,8,9,4,NA,NA,NA,NA,NA,0,0,0,NA,NA,30,5,40,15,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,9,9,4,NA,NA,NA,NA,NA
"10",2,2,0,3,1,1,10,3,NA,5,10,20,0,0.39,1,24,2,100,0,0,0,0,0,0,6,5,7,7,9,7,6,9,2,24,168,1,1,1,1,2,2,5,3,138,162,1,5,1,219,NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,45,5,25,20,0,5,NA,NA,NA,NA,NA,NA,65,0,10,25,0,0,7,5,10,8,3,NA,NA,NA,NA,NA,1,6,7,8,7,9,8,8,7,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,18.92,18.92,21.62,27.03,5.41,8.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,8,9,4,NA,NA,NA,NA,NA,0,0,0,NA,NA,30,5,40,15,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,9,9,4,NA,NA,NA,NA,NA
